,Variable,p-value,Status
18,CUMFNS,0.0,Stationary
63,M1SL,0.0,Stationary
46,AWHMAN,0.0,Stationary
45,AWOTMAN,0.0,Stationary
88,T1YFFM,0.0,Stationary
89,T5YFFM,0.0,Stationary
92,BAAFFM,0.0,Stationary
23,UNRATE,2.5140140497236054e-28,Stationary
102,OILPRICEx,7.856255956580816e-28,Stationary
123,DTCTHFNM,2.8029793942226556e-26,Stationary
121,UMCSENTx,1.5783137796737746e-25,Stationary
68,NONBORRES,1.3964887234752912e-24,Stationary
48,HOUSTNE,3.977105555219095e-22,Stationary
49,HOUSTMW,6.874147610152181e-22,Stationary
101,WPSID62,1.0594383511785826e-21,Stationary
56,PERMITW,1.1103485495435494e-21,Stationary
52,PERMIT,2.7524614371436657e-21,Stationary
54,PERMITMW,4.59851471531238e-21,Stationary
53,PERMITNE,1.5413254930726503e-19,Stationary
50,HOUSTS,4.552093300410354e-19,Stationary
51,HOUSTW,5.423242250667752e-19,Stationary
47,HOUST,1.1161753884303083e-18,Stationary
84,BAA,1.1653315285308985e-18,Stationary
55,PERMITS,1.1636679403668014e-17,Stationary
67,TOTRESNS,4.880273754369113e-17,Stationary
44,CES0600000007,5.362182966339791e-16,Stationary
62,ISRATIOx,1.6304314115419575e-15,Stationary
91,AAAFFM,2.3735798583635706e-15,Stationary
86,TB3SMFFM,4.502050426687486e-15,Stationary
85,COMPAPFFx,6.589758330369219e-15,Stationary
83,AAA,1.6647003849882417e-14,Stationary
125,VIXCLSx,5.5946157920480475e-14,Stationary
90,T10YFFM,5.772002040161593e-14,Stationary
74,S&P div yield,3.5376537099632045e-13,Stationary
69,BUSLOANS,1.630500457620102e-12,Stationary
20,HWIURATIO,1.6001852729453706e-10,Stationary
66,BOGMBASE,2.423762030282999e-09,Stationary
82,GS10,2.482504578943858e-09,Stationary
103,PPICMM,2.998263763799024e-09,Stationary
81,GS5,3.800714157229185e-09,Stationary
124,INVEST,6.283349636974029e-09,Stationary
80,GS1,7.658553757917842e-09,Stationary
19,HWI,1.2240798561163735e-08,Stationary
79,TB6MS,1.5155867945546516e-08,Stationary
78,TB3MS,1.9029829892758036e-08,Stationary
24,UEMPMEAN,3.8256851310451106e-08,Stationary
106,CPITRNSL,5.798182378807013e-08,Stationary
16,IPB51222S,5.8450250992878406e-08,Stationary
76,FEDFUNDS,8.976029793151242e-08,Stationary
77,CP3Mx,1.1168409741927795e-07,Stationary
10,IPNCONGD,1.5278257313983316e-07,Stationary
71,NONREVSL,7.366050242256018e-07,Stationary
64,M2SL,2.024333377792198e-06,Stationary
87,TB6SMFFM,3.1422039094707918e-06,Stationary
72,CONSPI,6.143352944805782e-06,Stationary
100,WPSID61,8.568728962469631e-06,Stationary
99,WPSFD49502,1.46802629908371e-05,Stationary
43,USGOVT,5.531479084594861e-05,Stationary
116,DNDGRG3M086SBEA,6.716616255758301e-05,Stationary
122,DTCOLNVHFNM,8.675995651133523e-05,Stationary
21,CLF16OV,0.00010390266430186209,Stationary
30,CLAIMSx,0.00014871150346530812,Stationary
98,WPSFD49207,0.00016923647095351402,Stationary
14,IPNMAT,0.00023209732419963544,Stationary
109,CUSR0000SAD,0.00023947819179061022,Stationary
108,CUSR0000SAC,0.0002930803962852912,Stationary
70,REALLN,0.00041766924777839645,Stationary
41,USTRADE,0.0004394916689936748,Stationary
107,CPIMEDSL,0.0015509511642071913,Stationary
8,IPCONGD,0.003861141380836334,Stationary
112,CUSR0000SA0L2,0.003901836776036456,Stationary
115,DDURRG3M086SBEA,0.004176166869331021,Stationary
38,SRVPRD,0.0074498347820690265,Stationary
111,CPIULFSL,0.013499552596053255,Stationary
105,CPIAPPSL,0.013887957025691905,Stationary
110,CUSR0000SAS,0.017548623684050635,Stationary
113,CUSR0000SA0L5,0.018488247084123843,Stationary
7,IPFINAL,0.026806322328656963,Stationary
75,S&P PE ratio,0.02782884000538628,Stationary
104,CPIAUCSL,0.028284081445408633,Stationary
118,CES0600000008,0.035767124604611435,Stationary
6,IPFPNSS,0.04150891035327571,Stationary
114,PCEPI,0.041691184895984376,Stationary
